DIRECTORIO SECUENCIA_ENCUESTA SECUENCIA_P ORDEN DEPMUNI P5747 P5752 P5752S1 P5090 FEX_C
94041 1 1 1 05001 1 1 2 1 363.194744293765
94043 1 1 1 05001 2 1 2 1 327.502284280371
94045 1 1 1 05001 2 1 2 2 274.880732296402
94047 1 1 1 05001 2 1 3 2 353.004772798248
94049 1 1 1 05001 2 1 2 1 343.023772192035
94051 1 1 1 05001 2 1 1 2 155.362628600401
94053 1 1 1 05001 2 1 3 2 311.091458749219
94055 1 1 1 05001 1 1 2 1 335.138256493445
94057 1 1 1 05001 2 1 4 2 331.157653103731
94059 1 1 1 05001 2 1 2 2 265.356725934161
94063 1 1 1 05001 1 1 3 1 378.128890983352
94065 1 1 1 05001 2 1 2 2 292.297553509942
94067 1 1 1 05001 2 1 2 1 279.169955095893
94069 1 1 1 05001 2 1 6 1 339.043168802321
94071 1 1 1 05001 2 1 2 2 324.852911139399
94073 1 1 1 05001 2 1 4 2 314.705860590516
94075 1 1 1 05001 1 1 3 1 371.341683793553
94077 1 1 1 05001 2 1 2 1 247.527849395208
94079 1 1 1 05001 2 1 3 2 339.043168802321
94081 1 1 1 05001 2 1 3 1 327.246800637014
94083 1 1 1 05001 2 1 2 1 315.961399758421
94085 1 1 1 05001 2 1 2 2 359.47556470525
94087 1 1 1 05001 1 1 6 1 302.566148916657
94089 1 1 1 05001 1 1 2 2 314.705860590516
94093 1 1 1 05001 1 1 2 1 336.393795661349
94097 1 1 1 05001 2 1 2 2 336.393795661349
94099 1 1 1 05001 1 1 1 1 340.463832751751
94103 1 1 1 05001 2 1 1 2 322.632343271169
94107 1 1 1 05001 2 1 2 2 255.088130527445
94109 1 1 1 05001 2 1 2 2 351.59004900666
94111 1 1 1 05001 2 1 2 1 383.888563997891
94113 1 1 1 05001 2 1 2 1 334.577069107387
94121 1 1 1 05001 2 1 2 2 250.852043494374
94123 1 1 1 05001 2 1 2 3 258.737559192964
94127 1 1 1 05001 1 1 2 1 298.295035059364
94131 1 1 1 05001 2 1 4 1 301.944463724884
94133 1 1 1 05001 2 1 2 1 389.25510723826
94135 1 1 1 05001 1 1 2 3 289.706202930323
94137 1 1 1 05001 2 1 4 2 331.157653103731
94139 1 1 1 05001 1 1 2 2 285.789121837089
94143 1 1 1 05001 2 1 2 2 347.934680183299
94145 1 1 1 05001 2 1 2 2 266.995216597811
94147 1 1 1 05001 2 1 3 2 331.157653103731
94149 1 1 1 05001 1 1 2 2 265.356725934161
94151 1 1 1 05001 1 1 3 2 359.47556470525
94153 1 1 1 05001 2 1 3 2 331.157653103731
94155 1 1 1 05001 2 1 1 2 339.043168802321
94157 1 1 1 05001 2 1 2 2 323.2661972473
94159 1 1 1 05001 2 1 2 2 383.88262384005
94161 1 1 1 05001 1 1 2 2 339.043168802321
94163 1 1 1 05001 1 1 3 2 387.793476306768
94165 1 1 1 05001 1 1 4 1 323.125618286125
94167 1 1 1 05001 1 1 4 1 338.520032731249
94169 1 1 1 05001 2 1 2 1 314.705860590516
94171 1 1 1 05001 1 1 2 1 314.374685866322
94173 1 1 1 05001 2 1 3 2 307.487866697411
94175 1 1 1 05001 2 1 2 2 243.547246005495
94177 1 1 1 05001 2 1 3 1 372.762347742982
