DIRECTORIO SECUENCIA_ENCUESTA SECUENCIA_P ORDEN DEPMUNI P5747 P5752 P5752S1 P5090 FEX_C
122038 1 1 1 11001 2 1 1 3 1177.78417174634
122039 1 1 1 11001 1 1 3 1 884.857521744227
122040 1 1 1 11001 3 1 3 2 1027.22408392975
122041 1 1 1 11001 2 1 3 2 819.979094396768
122042 1 1 1 11001 2 1 3 1 858.082318793232
122043 1 1 1 11001 2 1 3 2 1070.84162492768
122044 1 1 1 11001 2 1 1 2 867.39783071595
122045 1 1 1 11001 1 1 3 1 884.150379083375
122046 1 1 1 11001 1 1 3 1 907.02255934447
122047 1 1 1 11001 2 1 3 1 923.133238136176
122048 1 1 1 11001 2 1 3 2 1477.82321275966
122049 1 1 1 11001 2 1 3 1 909.794548604969
122050 1 1 1 11001 2 1 3 1 884.857521744227
122051 1 1 1 11001 2 1 4 2 1030.14383563066
122052 1 1 1 11001 2 1 3 4 1017.95791853254
122053 1 1 1 11001 2 1 3 2 1001.20537016512
122054 1 1 1 11001 1 1 3 2 793.911034106625
122055 1 1 1 11001 1 1 3 2 899.986738510944
122056 1 1 1 11001 1 1 3 1 885.469831067882
122057 1 1 1 11001 2 1 4 1 922.476481196364
122058 1 1 1 11001 2 1 3 1 909.794548604969
122059 1 1 1 11001 2 1 3 2 1012.44360193108
122060 1 1 1 11001 2 1 4 2 975.822559555443
122061 1 1 1 11001 1 1 3 1 1017.95791853254
122062 1 1 1 11001 2 1 4 1 1055.4357587714
122063 1 1 1 11001 2 1 3 2 884.150379083375
122064 1 1 1 11001 2 1 4 1 922.476481196364
122065 1 1 1 11001 2 1 4 1 884.857521744227
122066 1 1 1 11001 2 1 4 1 909.794548604969
122067 1 1 1 11001 2 1 4 1 918.362618479078
122068 1 1 1 11001 2 1 1 2 1027.66390125792
122069 1 1 1 11001 1 1 1 1 1280.05868082941
122070 1 1 1 11001 1 1 3 1 1186.69535979761
122071 1 1 1 11001 1 1 2 1 820.418911724937
122072 1 1 1 11001 1 1 2 2 772.133332991412
122073 1 1 1 11001 2 1 5 1 934.716932081786
122074 1 1 1 11001 1 1 2 1 773.681508591615
122075 1 1 1 11001 1 1 2 2 1146.25114138024
122076 1 1 1 11001 1 1 2 1 819.979094396768
122077 1 1 1 11001 2 1 5 1 912.665870843142
122078 1 1 1 11001 1 1 2 1 959.136004767389
122079 1 1 1 11001 1 1 3 1 852.568002191763
122080 1 1 1 11001 1 1 2 1 917.88624686739
122081 1 1 1 11001 2 1 4 1 1407.71333753321
122082 1 1 1 11001 2 1 3 1 884.857521744227
122083 1 1 1 11001 1 1 2 1 819.979094396768
122084 1 1 1 11001 1 1 2 1 885.030013739713
122085 1 1 1 11001 2 1 3 2 1962.80573947257
122086 1 1 1 11001 2 1 1 1 1009.77344003923
122087 1 1 1 11001 2 1 1 3 1146.25114138024
122088 1 1 1 11001 2 1 4 1 1012.88341925924
122089 1 1 1 11001 1 1 3 2 1629.06010176086
122090 1 1 1 11001 2 1 4 2 842.460803855208
122091 1 1 1 11001 1 1 1 2 1274.54436422794
122092 1 1 1 11001 2 1 4 2 820.418911724937
122094 1 1 1 11001 1 1 3 1 1768.30075816675
122095 1 1 1 11001 2 1 3 2 2258.99718602564
122096 1 1 1 11001 2 1 4 2 1030.14383563066
122097 1 1 1 11001 2 1 3 2 1685.80124236675
122098 1 1 1 11001 2 1 3 1 918.362618479078
122099 1 1 1 11001 2 1 3 1 2025.76683851849
122100 1 1 1 11001 2 1 4 2 2024.88720386215
122101 1 1 1 11001 2 1 4 1 1769.71504348845
122102 1 1 1 11001 2 1 3 2 1038.08777145267
122103 1 1 1 11001 2 1 3 2 938.165118907914
122104 1 1 1 11001 1 1 4 1 1628.18046710453
122105 1 1 1 11001 2 1 3 1 819.979094396768
122106 1 1 1 11001 2 1 4 1 884.857521744227
122107 1 1 1 11001 2 1 4 1 901.610070111653
122108 1 1 1 11001 2 1 3 2 909.794548604969
122109 1 1 1 11001 2 1 3 2 1012.44360193108
122110 1 1 1 11001 1 1 3 1 995.464711962255
122111 1 1 1 11001 2 1 3 2 1129.49859301282
122112 1 1 1 11001 1 1 3 1 909.794548604969
122113 1 1 1 11001 1 1 3 1 1012.44360193108
122114 1 1 1 11001 1 1 1 1 1087.59417329511
122115 1 1 1 11001 1 1 1 1 1082.95949134998
122116 1 1 1 11001 2 1 3 1 2258.99718602564
122117 1 1 1 11001 1 1 1 1 954.49377650679
122118 1 1 1 11001 1 1 1 2 1151.76545798171
122119 1 1 1 11001 2 1 4 1 959.136004767389
122120 1 1 1 11001 2 1 3 1 943.29964533982
122121 1 1 1 11001 1 1 4 1 1789.92944016156
122122 1 1 1 11001 2 1 5 1 1027.61887569731
122123 1 1 1 11001 1 1 3 2 1076.6308131773
122124 1 1 1 11001 1 1 3 1 918.362618479078
122125 1 1 1 11001 1 1 3 2 889.992048176133
122126 1 1 1 11001 2 1 3 2 1081.7053124506
122127 1 1 1 11001 1 1 3 1 884.857521744227
122128 1 1 1 11001 2 1 2 3 1654.51286217597
122129 1 1 1 11001 2 1 2 2 1017.95791853254
122130 1 1 1 11001 2 1 3 2 915.683409449474
122131 1 1 1 11001 2 1 2 1 820.418911724937
122132 1 1 1 11001 2 1 2 2 910.234365933138
122133 1 1 1 11001 2 1 3 3 1280.28258895026
122134 1 1 1 11001 2 1 4 2 979.854694136081
122135 1 1 1 11001 2 1 2 2 884.590196411544
122137 1 1 1 11001 2 1 4 2 884.150379083375
122138 1 1 1 11001 2 1 3 4 1470.27693373396
122139 1 1 1 11001 1 1 3 1 895.84435473712
122140 1 1 1 11001 2 1 4 2 867.39783071595
122141 1 1 1 11001 1 1 3 1 819.931902645021
122142 1 1 1 11001 2 1 5 2 1113.68796212418
122143 1 1 1 11001 2 1 4 2 979.854694136081
122144 1 1 1 11001 2 1 3 2 1001.20537016512
122145 1 1 1 11001 2 1 3 1 856.926768769451
122146 1 1 1 11001 1 1 3 1 696.564159950221
122147 1 1 1 11001 1 1 2 1 953.786633845938
122148 1 1 1 11001 1 1 2 2 1018.39773586071
122149 1 1 1 11001 2 1 4 2 979.854694136081
122150 1 1 1 11001 2 1 4 1 714.118234481994
122151 1 1 1 11001 2 1 3 1 771.693515663243
122152 1 1 1 11001 1 1 3 2 899.370678410218
122153 1 1 1 11001 2 1 4 2 979.854694136081
122154 1 1 1 11001 1 1 2 1 1012.88341925924
122155 1 1 1 11001 1 1 2 1 884.101032557862
122156 1 1 1 11001 2 1 4 2 884.150379083375
122157 1 1 1 11001 1 1 2 1 1402.83758707565
122158 1 1 1 11001 2 1 4 2 884.150379083375
122159 1 1 1 11001 2 1 2 2 995.69105356365
122160 1 1 1 11001 1 1 3 1 907.02255934447
122161 1 1 1 11001 2 1 3 2 1768.30075816675
122162 1 1 1 11001 2 1 4 1 884.150379083375
122163 1 1 1 11001 2 1 4 2 1768.30075816675
122164 1 1 1 11001 1 1 3 1 1151.76545798171
122165 1 1 1 11001 1 1 3 1 1018.83755318888
122166 1 1 1 11001 1 1 3 2 724.274779344062
122167 1 1 1 11001 1 1 3 1 819.979094396768
122168 1 1 1 11001 2 1 4 2 1927.08392619365
122169 1 1 1 11001 2 1 4 1 979.854694136081
122170 1 1 1 11001 2 1 3 1 979.854694136081
122171 1 1 1 11001 2 1 3 1 909.794548604969
122172 1 1 1 11001 1 1 4 2 1801.8058549016
122173 1 1 1 11001 2 2  2 954.226451174107
122174 1 1 1 11001 2 1 2 2 820.418911724937
122175 1 1 1 11001 2 1 2 2 1029.1961502985
122176 1 1 1 11001 2 1 3 2 979.854694136081
122177 1 1 1 11001 2 1 3 2 901.610070111653
122178 1 1 1 11001 1 1 3 1 910.234365933138
122179 1 1 1 11001 2 1 2 1 1018.39773586071
122180 1 1 1 11001 2 1 3 2 953.786633845938
122181 1 1 1 11001 2 1 3 1 847.595330287114
122182 1 1 1 11001 2 1 3 2 867.837648044118
122183 1 1 1 11001 1 1 3 1 884.857521744227
122184 1 1 1 11001 2 1 2 2 1012.44360193108
122185 1 1 1 11001 1 1 3 1 909.794548604969
122186 1 1 1 11001 2 1 2 1 831.54992458054
122187 1 1 1 11001 2 1 3 2 750.358766193825
122188 1 1 1 11001 2 1 3 2 875.542009821509
122189 1 1 1 11001 2 1 3 2 820.418911724937
122190 1 1 1 11001 2 1 3 2 1039.30859456158
122192 1 1 1 11001 1 1 1 1 842.460803855208
122193 1 1 1 11001 2 1 3 1 842.460803855208
122194 1 1 1 11001 2 1 3 1 1018.39773586071
122195 1 1 1 11001 2 1 4 2 772.560358077587
122196 1 1 1 11001 2 1 4 1 820.68623705762
122197 1 1 1 11001 1 1 3 2 1012.44360193108
122198 1 1 1 11001 1 1 1 2 1065.76712565438
122199 1 1 1 11001 2 1 3 2 917.88624686739
122200 1 1 1 11001 2 1 1 2 1123.98427641135
122201 1 1 1 11001 1 1 3 1 789.59302401969
122202 1 1 1 11001 2 1 3 1 884.857521744227
122203 1 1 1 11001 1 1 3 2 842.460803855208
122204 1 1 1 11001 2 1 3 2 979.854694136081
122205 1 1 1 11001 1 1 3 1 979.854694136081
122206 1 1 1 11001 2 1 3 2 979.854694136081
122207 1 1 1 11001 2 1 3 1 909.794548604969
122208 1 1 1 11001 2 1 3 2 1012.44360193108
122209 1 1 1 11001 1 1 4 1 1896.54463448894
122210 1 1 1 11001 2 1 2 2 985.759481540206
122211 1 1 1 11001 1 1 3 2 933.491835245795
122212 1 1 1 11001 1 1 3 1 926.547096972394
122213 1 1 1 11001 2 1 3 1 926.547096972394
122214 1 1 1 11001 2 1 5 2 1266.94200377989
122215 1 1 1 11001 2 1 3 1 772.573150319581
122216 1 1 1 11001 2 1 2 2 1045.47232705424
122217 1 1 1 11001 2 1 3 2 867.39783071595
122218 1 1 1 11001 2 1 3 2 884.150379083375
122219 1 1 1 11001 2 1 2 2 900.902927450801
122220 1 1 1 11001 1 1 2 1 1140.73682477878
122221 1 1 1 11001 2 1 2 2 1017.95791853254
122222 1 1 1 11001 2 1 2 2 884.590196411544
122223 1 1 1 11001 2 1 3 2 2036.79547172143
122224 1 1 1 11001 2 1 4 1 885.297339072396
122225 1 1 1 11001 1 1 3 1 1029.21207685812
122226 1 1 1 11001 2 1 3 1 912.09705861777
122227 1 1 1 11001 2 1 3 1 724.981922004914
122228 1 1 1 11001 2 1 4 2 845.623263918362
122229 1 1 1 11001 1 1 4 1 1758.25672130643
122230 1 1 1 11001 2 1 2 2 1140.73682477878
122231 1 1 1 11001 1 1 3 1 749.918948865656
122232 1 1 1 11001 2 1 4 1 884.857521744227
122233 1 1 1 11001 2 1 2 2 996.130870891819
122234 1 1 1 11001 2 1 5 2 803.226546029343
122235 1 1 1 11001 2 1 2 2 1146.25114138024
122236 1 1 1 11001 2 1 3 2 1146.25114138024
122237 1 1 1 11001 2 1 5 2 1012.44360193108
122238 1 1 1 11001 1 1 2 2 1051.03912449885
122239 1 1 1 11001 2 1 4 2 884.150379083375
122240 1 1 1 11001 2 1 4 2 1663.09984916108
122241 1 1 1 11001 2 1 2 2 1018.83755318888
122242 1 1 1 11001 2 1 3 2 803.226546029343
122243 1 1 1 11001 2 1 3 2 1049.49094889864
122244 1 1 1 11001 2 1 3 1 1478.11052268547
122245 1 1 1 11001 2 1 3 1 1853.97382860113
122246 1 1 1 11001 2 1 3 4 1927.08392619365
122247 1 1 1 11001 2 1 3 1 2035.91583706509
122248 1 1 1 11001 2 1 3 1 1909.83533455068
122249 1 1 1 11001 2 1 3 1 1718.42670444527
122250 1 1 1 11001 2 1 3 1 2035.91583706509
122251 1 1 1 11001 2 1 3 2 2292.50228276049
122252 1 1 1 11001 2 1 3 1 1907.57326769188
122253 1 1 1 11001 2 1 4 2 1043.97663229717
122254 1 1 1 13001 1 1 2 1 96.5035533355125
122255 1 1 1 13001 1 1 2 1 84.4310582256279
122256 1 1 1 13001 1 1 1 1 97.0643288861258
122257 1 1 1 13001 2 1 1 2 100.823332467649
122259 1 1 1 13001 1 1 2 1 89.525095257027
122260 1 1 1 13001 2 1 1 2 82.8681835492195
122262 1 1 1 13001 2 1 1 2 76.6191048378003
122263 1 1 1 13001 2 1 2 1 101.70275413581
122264 1 1 1 13001 2 1 2 2 85.9864422649899
122266 1 1 1 13001 1 1 1 1 119.269929031549
122267 1 1 1 13001 1 1 1 1 91.0657431761816
122268 1 1 1 13001 2 1 2 2 85.3310090390597
122269 1 1 1 13001 2 1 2 1 71.6835704339515
122270 1 1 1 13001 2 1 2 2 91.4559950404595
122271 1 1 1 13001 2 1 2 2 89.5103591368195
122272 1 1 1 13001 1 1 2 1 92.3435372230735
122273 1 1 1 13001 2 1 2 1 85.5490117529427
122274 1 1 1 13001 2 1 2 3 82.0028681238593
122275 1 1 1 13001 2 1 2 2 82.1115545420975
122276 1 1 1 13001 1 1 2 1 88.0783976359031
122278 1 1 1 13001 1 1 2 2 83.7756249996977
122279 1 1 1 13001 2 1 3 1 96.374260272124
122280 1 1 1 13001 2 1 3 1 73.2038743842088
122282 1 1 1 13001 1 1 2 1 82.7810940108284
122283 1 1 1 13001 1 1 1 1 69.4217212541096
122286 1 1 1 13001 1 1 3 1 88.2807414382566
122287 1 1 1 13001 2 1 1 1 86.8863930784217
122288 1 1 1 13001 2 1 1 2 87.8603949220201
122289 1 1 1 13001 1 1 2 2 107.956955700719
122290 1 1 1 13001 1 1 2 1 86.312208605789
122291 1 1 1 13001 2 1 1 2 89.5103591368195
122292 1 1 1 13001 2 1 1 1 87.8603949220201
122293 1 1 1 13001 2 1 1 2 103.447298526047
122294 1 1 1 13001 2 1 2 1 85.3310090390597
122295 1 1 1 13001 2 1 1 2 99.2679484282871
122296 1 1 1 13001 2 1 2 1 86.1098648034355
122297 1 1 1 13001 2 1 2 2 87.3394825019984
122298 1 1 1 13001 1 1 1 1 100.411105408617
122299 1 1 1 13001 2 1 2 2 85.3310090390597
122300 1 1 1 13001 2 1 2 3 89.5103591368195
122301 1 1 1 13001 2 1 1 2 89.5961486262301
122302 1 1 1 13001 2 1 2 2 85.3310090390597
122303 1 1 1 13001 2 1 3 2 86.8863930784217
122304 1 1 1 13001 2 1 2 2 78.4789512520297
122305 1 1 1 13001 1 1 2 1 97.0643288861258
122306 1 1 1 13001 2 1 2 1 90.8633993738281
122307 1 1 1 13001 1 1 3 2 87.7608917285425
122308 1 1 1 13001 2 1 3 1 113.161916448022
122309 1 1 1 13001 1 1 3 1 101.585525997883
122310 1 1 1 13001 1 1 3 1 103.579821050346
122311 1 1 1 13001 1 1 3 1 110.123732733922
122312 1 1 1 13001 2 1 3 1 96.3419829224692
122313 1 1 1 13001 2 1 3 2 82.1115545420975
122314 1 1 1 13001 1 1 3 1 95.8323149227847
122315 1 1 1 13001 2 1 3 1 83.7756249996977
122316 1 1 1 13001 1 1 3 1 80.8819368435345
122317 1 1 1 13001 2 1 1 1 81.5710826662143
122318 1 1 1 13001 2 1 3 1 69.0611570442824
122319 1 1 1 13001 1 1 1 1 76.7277912560384
122320 1 1 1 13001 1 1 2 1 110.704344297562
122321 1 1 1 13001 2 1 2 1 115.044730074849
122322 1 1 1 13001 1 1 2 1 82.7483511034882
122323 1 1 1 13001 1 1 2 2 81.8070921672301
122324 1 1 1 13001 1 1 2 1 90.7960210784162
122325 1 1 1 13001 2 1 3 1 82.857667399133
122326 1 1 1 13001 2 1 3 1 112.791739024409
122327 1 1 1 13001 1 1 2 3 90.8633993738281
122328 1 1 1 13001 2 1 1 1 88.0783976359031
122329 1 1 1 13001 1 1 2 1 85.5490117529427
122330 1 1 1 13001 2 1 1 2 76.6191048378003
122331 1 1 1 13001 1 1 2 1 91.1750594718264
122332 1 1 1 13001 2 1 2 2 88.2047979273586
122333 1 1 1 13001 1 1 2 1 80.2189652205278
122334 1 1 1 13001 2 1 2 1 110.704344297562
122335 1 1 1 13001 2 1 2 2 82.7810940108284
122336 1 1 1 13001 1 1 2 1 82.4373208828966
122337 1 1 1 13001 1 1 1 1 94.0799610988573
122338 1 1 1 13001 1 1 2 2 100.823332467649
122339 1 1 1 13001 2 1 3 1 93.6409779180814
122340 1 1 1 13001 2 1 3 2 91.4559950404595
122341 1 1 1 13001 2 1 1 2 90.8633993738281
122342 1 1 1 13001 1 1 1 1 78.1758563695175
122343 1 1 1 13001 2 1 1 1 99.159262010049
122344 1 1 1 13001 1 1 2 2 78.5876376702678
122345 1 1 1 13001 2 1 3 3 81.8070921672301
122346 1 1 1 13001 2 1 2 2 90.3350637601347
122347 1 1 1 13001 2 1 2 1 81.8070921672301
122348 1 1 1 13001 2 1 2 1 99.4244433717012
122349 1 1 1 13001 1 1 2 1 84.5544807640735
122350 1 1 1 13001 1 1 2 1 93.4458318388588
122351 1 1 1 13001 1 1 1 1 85.3310090390597
122352 1 1 1 13001 1 1 2 1 112.136305798479
122353 1 1 1 13001 1 1 2 1 86.601934860449
122354 1 1 1 13001 1 1 3 1 96.6852904927156
122355 1 1 1 13001 2 1 3 2 89.4475215775208
122356 1 1 1 13001 1 1 2 1 82.5460073011347
122357 1 1 1 13001 1 1 2 1 85.3310090390597
122358 1 1 1 13001 1 1 3 1 88.0783976359031
122359 1 1 1 13001 1 1 2 2 83.6669385814595
122360 1 1 1 13001 2 1 1 2 82.0028681238593
122362 1 1 1 13001 1 1 1 1 88.5017219051496
122363 1 1 1 13001 1 1 1 1 76.4927045463447
122364 1 1 1 13001 2 1 2 2 86.1822182216192
122365 1 1 1 13001 2 1 2 3 95.4330013358659
122366 1 1 1 13001 2 1 2 2 80.7984549355601
122367 1 1 1 13001 2 1 2 2 80.8125611783608
122368 1 1 1 13001 2 1 2 2 82.0028681238593
122369 1 1 1 13001 2 1 1 2 82.0028681238593
122370 1 1 1 13001 2 1 2 1 83.6669385814595
122371 1 1 1 13001 2 1 2 2 95.0885983305273
122372 1 1 1 13001 1 1 3 1 82.7483511034882
122373 1 1 1 13001 3 1 2 1 85.3310090390597
122374 1 1 1 13001 1 1 2 1 78.2831752954004
122375 1 1 1 13001 2 1 2 1 88.0783976359031
122376 1 1 1 13001 2 1 2 2 82.0028681238593
122377 1 1 1 13001 2 1 2 2 93.6897092345794
122378 1 1 1 13001 1 1 3 2 93.3927852567885
122379 1 1 1 13001 2 1 3 2 82.1115545420975
122380 1 1 1 13001 1 1 1 1 112.245712599077
122381 1 1 1 13001 2 1 2 1 80.3387976662592
122382 1 1 1 13001 1 1 2 1 93.3927852567885
122383 1 1 1 13001 2 1 2 3 107.651374888326
122384 1 1 1 13001 2 1 2 1 118.774321989079
122385 1 1 1 13001 2 1 2 1 90.3756745621797
122386 1 1 1 13001 1 1 2 1 95.4143646713264
122387 1 1 1 13001 1 1 2 1 83.6669385814595
122388 1 1 1 13001 1 1 2 1 88.0783976359031
122389 1 1 1 13001 1 1 1 1 94.8934522513047
122390 1 1 1 13001 1 1 2 1 90.2263773418966
122391 1 1 1 13001 1 1 2 2 93.813131773025
122392 1 1 1 13001 2 1 2 2 105.002682565409
122393 1 1 1 13001 1 1 3 1 80.0166214181743
122394 1 1 1 13001 2 1 1 1 83.6669385814595
122395 1 1 1 13001 2 1 2 1 91.5188325997583
122396 1 1 1 13001 1 1 1 1 101.602188232025
122397 1 1 1 13001 2 1 2 2 78.1345482466912
122398 1 1 1 13001 2 1 1 2 74.8286340887445
122399 1 1 1 13001 2 1 2 1 82.6724075925903
122400 1 1 1 13001 1 1 1 1 83.8849412953425
122401 1 1 1 13001 2 1 2 1 96.0167513151862
122402 1 1 1 13001 1 1 1 1 85.3310090390597
122403 1 1 1 13001 2 1 1 1 78.2831752954004
122404 1 1 1 13001 1 1 1 1 84.3223718073897
122405 1 1 1 13001 1 1 2 1 87.9697112176649
122406 1 1 1 13001 1 1 1 1 95.0885983305273
122407 1 1 1 13001 2 1 1 1 93.3927852567885
122408 1 1 1 13001 1 1 3 2 77.1400172578219
122409 1 1 1 13001 1 1 3 1 88.0783976359031
122410 1 1 1 13001 1 1 3 1 85.372317161886
122411 1 1 1 13001 2 1 3 3 91.329594749004
122412 1 1 1 13001 2 1 1 1 105.867997990769
122413 1 1 1 13001 1 1 3 1 88.0783976359031
122414 1 1 1 13001 2 1 3 2 76.7277912560384
122415 1 1 1 13001 1 1 1 1 82.9768699674577
122416 1 1 1 13001 2 1 3 2 78.243864542336
122417 1 1 1 13001 2 1 1 1 90.8633993738281
122418 1 1 1 13001 2 1 3 2 87.9549750974575
122419 1 1 1 13001 2 1 1 1 83.7082467042858
122420 1 1 1 13001 1 1 1 1 93.3927852567885
122421 1 1 1 13001 2 1 3 2 123.246935326955
122422 1 1 1 13001 2 1 2 2 80.0166214181743
122423 1 1 1 13001 2 1 2 2 85.6754120443983
122424 1 1 1 13001 2 1 3 1 95.6981826975181
122425 1 1 1 13001 1 1 1 1 95.0885983305273
122426 1 1 1 13001 1 1 1 1 93.3224093004132
122427 1 1 1 13001 1 1 1 1 99.159262010049
122428 1 1 1 13001 1 1 1 1 83.7756249996977
122429 1 1 1 13001 1 1 1 1 192.392396377424
122430 1 1 1 13001 1 1 1 1 224.272611596958
122431 1 1 1 13001 1 1 1 1 172.581809279715
122432 1 1 1 13001 1 1 1 1 183.303541994178
122433 1 1 1 13001 1 1 1 1 171.97288452998
122434 1 1 1 13001 1 1 1 2 170.662018078119
122435 1 1 1 13001 2 1 1 3 90.8633993738281
122436 1 1 1 13001 1 1 1 3 93.3927852567885
122437 1 1 1 13001 2 1 2 1 85.6754120443983
122438 1 1 1 13001 2 1 2 2 87.3394825019984
122439 1 1 1 13001 2 1 3 1 86.5073546850116
122440 1 1 1 13001 2 1 3 2 85.6754120443983
122441 1 1 1 13001 2 1 2 1 89.6337816752651
122442 1 1 1 13001 1 1 3 1 72.8201606258058
122443 1 1 1 13001 1 1 3 2 88.1972595302821
122444 1 1 1 13001 1 1 2 1 81.8070921672301
122445 1 1 1 13001 2 1 3 2 85.3310090390597
122446 1 1 1 13001 2 1 3 1 86.1098648034355
122447 1 1 1 13001 1 1 1 4 86.1822182216192
122448 1 1 1 13001 2 1 3 2 87.3394825019984
122449 1 1 1 13001 2 1 2 2 87.8462886792193
122450 1 1 1 13001 2 1 2 1 83.1068603516275
122451 1 1 1 13001 1 1 1 4 80.1430217096299
122452 1 1 1 13001 2 1 3 1 76.4927045463447
122453 1 1 1 13001 1 1 1 1 172.283214839148
122454 1 1 1 13001 2 1 3 2 104.737501203757
122455 1 1 1 13001 1 1 2 1 85.9864422649899
122456 1 1 1 13001 1 1 2 1 86.305010882658
122457 1 1 1 13001 2 1 1 2 82.0028681238593
122458 1 1 1 13001 2 1 1 1 82.0028681238593
122459 1 1 1 13001 2 1 1 1 87.9697112176649
122460 1 1 1 13001 2 1 2 1 95.1285389609984
122461 1 1 1 13001 1 1 1 2 85.3310090390597
122462 1 1 1 13001 2 1 1 2 83.6669385814595
122463 1 1 1 13001 2 1 1 1 86.2909046398573
122464 1 1 1 13001 2 1 2 4 117.583875291348
122465 1 1 1 13001 2 1 2 2 95.6794364721561
122466 1 1 1 13001 2 1 1 2 87.8462886792193
122467 1 1 1 13001 2 1 2 1 85.5490117529427
122468 1 1 1 15001 2 1 2 1 18.7154075415661
122469 1 1 1 15001 2 1 3 2 19.4390188439774
122470 1 1 1 15001 1 1 3 1 13.5351585597592
122471 1 1 1 15001 2 1 3 2 24.7514043105099
122472 1 1 1 15001 2 1 3 2 21.281389293261
122473 1 1 1 15001 1 1 2 1 18.2030007072479
122474 1 1 1 15001 1 2  3 19.636334177538
122475 1 1 1 15001 2 1 2 1 25.7551091873944
122476 1 1 1 15001 2 1 3 2 20.1934689977788
122477 1 1 1 15001 2 1 3 1 23.1905646133845
122478 1 1 1 15001 2 1 3 1 19.1455965640797
122479 1 1 1 15001 2 1 3 1 19.636334177538
122480 1 1 1 15001 2 1 3 1 20.4441608985469
122481 1 1 1 15001 1 1 1 2 21.2135549087936
122482 1 1 1 15001 1 1 2 1 19.636334177538
122483 1 1 1 15001 2 1 1 2 25.0462637680925
122484 1 1 1 15001 2 1 3 2 13.5515395938894
122485 1 1 1 15001 2 1 3 1 31.5945374908389
122486 1 1 1 15001 1 1 2 1 20.1493014409642
122487 1 1 1 15001 2 1 2 1 24.2384370470836
122488 1 1 1 15001 2 1 3 2 24.2384370470836
122489 1 1 1 15001 2 1 3 1 20.3419865166346
122490 1 1 1 15001 2 1 4 1 26.0499686449771
122491 1 1 1 15001 1 1 4 2 19.0140205084621
122492 1 1 1 15001 2 1 4 2 14.6651513055316
122493 1 1 1 15001 2 1 4 1 20.0139718760334
122494 1 1 1 15001 2 1 4 1 25.0462637680925
122495 1 1 1 15001 2 1 4 2 20.1934689977788
122496 1 1 1 15001 1 1 4 1 25.0462637680925
122497 1 1 1 15001 2 1 4 1 26.0499686449771
122498 1 1 1 15001 2 1 4 2 14.1738532629653
122499 1 1 1 15001 2 1 4 2 17.7435398915447
122500 1 1 1 15001 2 1 4 1 28.3204006294657
122501 1 1 1 15001 2 1 4 2 10.4821500928552
122502 1 1 1 15001 1 1 1 1 25.2643715739361
122503 1 1 1 15001 1 1 1 1 24.2384370470836
122504 1 1 1 15001 2 1 1 2 28.0573783987462
122505 1 1 1 15001 2 1 1 1 22.4808424455056
122506 1 1 1 15001 1 1 1 2 20.6368459742172
122507 1 1 1 15001 2 1 2 2 15.9853848608587
122508 1 1 1 15001 3 1 1 2 19.8290192532083
122509 1 1 1 15001 1 1 2 1 25.4832262478411
122510 1 1 1 15001 2 1 4 1 25.7551091873944
122511 1 1 1 15001 2 1 3 1 19.8290192532083
122512 1 1 1 15001 1 1 3 2 23.9109828355904
122513 1 1 1 15001 1 1 3 1 24.6198282548923
122514 1 1 1 15001 2 1 4 1 20.4735625722521
122515 1 1 1 15001 2 1 4 1 19.636334177538
122516 1 1 1 15001 2 1 4 2 24.7514043105099
122517 1 1 1 15001 1 1 3 2 18.9349525250947
122518 1 1 1 15001 1 1 1 2 24.2384370470836
122519 1 1 1 15001 2 1 3 2 24.2384370470836
122520 1 1 1 15001 1 1 4 1 19.636334177538
122521 1 1 1 15001 2 1 4 1 14.3059897476908
122522 1 1 1 15001 2 1 3 2 14.8189570111171
122523 1 1 1 17001 1 1 1 1 56.2693632424775
122524 1 1 1 17001 2 1 1 1 41.7457051896987
122526 1 1 1 17001 1 1 2 1 46.9587697510541
122528 1 1 1 17001 1 1 2 2 32.2912675220468
122530 1 1 1 17001 2 1 3 3 40.8025482447884
122532 1 1 1 17001 1 1 1 1 108.190977134883
122533 1 1 1 17001 1 1 4 2 92.7497380868406
122534 1 1 1 17001 1 1 1 1 107.980891876075
122537 1 1 1 17001 2 1 3 2 75.2336400494904
122538 1 1 1 17001 2 1 3 2 59.5050374241855
122539 1 1 1 17001 2 1 3 2 44.2234239930256
122540 1 1 1 17001 2 1 3 1 37.5029036335012
122543 1 1 1 17001 2 1 3 2 26.0348571444006
122545 1 1 1 17001 1 1 4 1 43.8017468735173
122546 1 1 1 17001 2 1 3 2 47.418120810438
122547 1 1 1 17001 2 1 3 2 42.7665273320748
122548 1 1 1 17001 2 1 3 2 54.5504885711288
122550 1 1 1 17001 2 1 3 2 52.9697186311903
122552 1 1 1 17001 2 1 4 4 52.9697186311903
122553 1 1 1 17001 2 1 1 1 105.939437262381
122554 1 1 1 17001 2 1 1 3 113.44872649233
122555 1 1 1 17001 1 1 3 1 36.0028543700292
122557 1 1 1 17001 1 1 3 1 46.1441556422621
122558 1 1 1 17001 2 1 3 1 60.1060984082682
122559 1 1 1 17001 2 1 2 2 26.1302482326618
122560 1 1 1 17001 1 1 1 1 27.4107581352922
122562 1 1 1 17001 1 1 3 1 50.4488472253422
122563 1 1 1 17001 1 1 3 1 47.5230686043129
122564 1 1 1 17001 2 1 3 1 70.5662714005438
122565 1 1 1 17001 1 1 3 1 35.9713972540851
